Time,Hear,Gender,Age
2018,Laurel,Female,28
2018,Laurel,Male,39
2018,Laurel,Female,25
2018,Yanny,Female,25
2018,Laurel,Female,36
2018,Laurel,Female,24
2018,Yanny,Male,41
2018,Laurel,Male,30
2018,Laurel,Male,23
2018,Laurel,Female,38
2018,Yanny,Male,32
2018,Both,Female,26
2018,Yanny,Female,26
2018,Yanny,Female,29
2018,Yanny,Male,29
2018,Laurel,Male,52
2018,"Originally heard ""Yanny"", but after listening to one that was pitch adjusted to say ""Laurel"" I can hear both",Male,24
2018,Laurel,Male,50
2018,Harry,Male,61
2018,Yanny,Female,27
2018,Yanny,Male,28
2018,Laurel,Male,27
2018,Yanny,Male,28
2018,Laurel,Female,29
2018,NA,Male,38
2018,Yanny,Male,30
2018,Laurel,Female,36
2018,NA,Female,37
2018,Laurel,Male,30
2018,Yanny,Female,NA
2018,Laurel,Male,44
2018,"Laurel predominantly, but ""Yanny"" or something similar in the audio compression artefacts.",Female,39
2018,Yanny,Female,26
2018,Laurel,Male,37
2018,Laurel,Female,63
2018,Laurel,Male,37
2018,Yanny,Female,26
2018,Both,Female,26
2018,Laurel,Female,40
2018,Yanny,Female,63
2018,Laurel,Female,39
2018,Laurel,Female,52
2018,Laurel,Female,35
2018,Both,Female,30
2018,Yaurel,Female,50
2018,Laurel,Female,35
2018,Yanny,Female,30
2018,Yanny,Female,35
2018,I hear both ,Female,42
2018,Yanny,Male,23
2018,Laurel,Male,41
2018,Yanny,Male,32
2018,Yanny,Male,39
2018,Yanny,Male,40
2018,Yanny,Female,35
2018,Yanny,Male,31
2018,Laurel,Male,27
2018,Yanny,Female,49
2018,Laurel,Male,38
2018,Yanny,Female,38
2018,Laurel,Male,36
2018,Yanny,Female,32
2018,Laurel,Female,38
2018,Yanny,Female,38
2018,Yanny,Female,37
2018,Yanny,Female,36
2018,Laurel,Female,69
2018,Laurel,Female,69
2018,Laurel,Female,69
2018,Yanny,Male,30
2018,Yanny,Female,32
2019,Yanny,Female,28
2019,Laurel,Female,35
2019,"Both - Yanny at first, then both but Laurel more prominent",Female,27
2019,Yanny,Male,31
2019,Yanny,Male,37
2019,Laurel,Female,38
2019,Laurel,Male,34
2019,Yanny,Male,40
2019,Yanny,Male,27
2019,Laurel,Male,43
2019,Yanny,Female,28
2019,Yanny,Male,37
2019,Laurel,Male,59
2019,Yanny,Male,24
2019,Laurel,Female,26
2019,Laurel,Male,29
2019,Laurel,Male,29
2019,Laurel,Male,25
2019,Laurel,Female,40
2019,Laurel,Male,34
2019,Yanny,Female,29
2019,Yanny,Female,30